State/UT,ST,Total,Percent
Lakshadweep,1,1,100.0
Mizoram,413,437,94.51
Meghalaya,157,178,88.2
Nagaland,75,95,78.95
Arunachal Pradesh,70,126,55.56
Chhattisgarh,2460,6102,40.31
Tripura,142,395,35.95
Odisha,1126,3245,34.7
Jharkhand,1690,5084,33.24
Sikkim,39,124,31.45
Madhya Pradesh,3511,13652,25.72
Gujarat,883,3853,22.92
Ladakh,1,5,20.0
Andhra Pradesh,431,2360,18.26
Rajasthan,808,5131,15.75
Manipur,14,105,13.33
Dadra and Nagar Haveli and Daman and Diu,2,15,13.33
Assam,353,2779,12.7
Maharashtra,634,5550,11.42
Telangana,214,1910,11.2
Karnataka,384,3688,10.41
Goa,9,105,8.57
West Bengal,349,5367,6.5
Kerala,155,2426,6.39
Uttarakhand,129,2063,6.25
Himachal Pradesh,46,853,5.39
Uttar Pradesh,989,26734,3.7
Haryana,122,3338,3.65
Tamil Nadu,138,4161,3.32
Punjab,65,2779,2.34
Bihar,173,7741,2.23
Delhi,27,1470,1.84
Jammu & Kashmir,2,159,1.26
A & N Islands,1,137,0.73
Chandigarh,0,349,0.0
Puducherry,0,72,0.0
