State/UT,SC,ST,OBC,Others,Total
Andhra Pradesh,1,1,7,4,13
Bihar,0,0,4,0,4
Chhattisgarh,0,0,0,1,1
Gujarat,163,115,548,343,1169
Haryana,0,0,0,20,20
Jharkhand,0,0,0,3,3
Karnataka,10,0,24,8,42
Kerala,8,3,26,9,46
Madhya Pradesh,14,11,41,13,79
Manipur,0,6,0,8,14
Nagaland,0,35,0,0,35
Odisha,2,0,5,6,13
Tamil Nadu,539,50,812,29,1430
Telangana,56,14,95,93,258
Uttar Pradesh,11,0,62,28,101
Dadra and Nagar Haveli and Daman and Diu,0,2,0,2,4
Delhi,0,0,2,14,16
Jammu & Kashmir,2,12,0,214,228
Puducherry,2,0,8,0,10
