State,Count,% of India
Tamil Nadu,182,13.62275449101796
Uttar Pradesh,177,13.24850299401198
Madhya Pradesh,165,12.3502994011976
Karnataka,134,10.02994011976048
Maharashtra,134,10.02994011976048
Rajasthan,110,8.233532934131736
Jharkhand,83,6.212574850299401
Kerala,74,5.538922155688622
Andhra Pradesh,53,3.967065868263473
Bihar,37,2.769461077844311
Haryana,27,2.020958083832335
Uttarakhand,25,1.87125748502994
Telangana,23,1.721556886227545
Odisha,19,1.422155688622754
Punjab,19,1.422155688622754
Delhi,19,1.422155688622754
Chhattisgarh,12,0.8982035928143712
West Bengal,10,0.7485029940119761
Gujarat,9,0.6736526946107785
Mizoram,5,0.374251497005988
Puducherry,5,0.374251497005988
Chandigarh,5,0.374251497005988
Manipur,3,0.2245508982035928
Assam,3,0.2245508982035928
Goa,2,0.1497005988023952
Meghalaya,1,0.07485029940119761
Arunachal Pradesh,0,0.0
Himachal Pradesh,0,0.0
Nagaland,0,0.0
Sikkim,0,0.0
Tripura,0,0.0
A & N Islands,0,0.0
Dadra and Nagar Haveli and Daman and Diu,0,0.0
Jammu & Kashmir,0,0.0
Ladakh,0,0.0
Lakshadweep,0,0.0
