State/UT,Numerator,Denominator,Percent
Andhra Pradesh,0,185,0.0
Arunachal Pradesh,0,4,0.0
Assam,0,35,0.0
Bihar,0,4062,0.0
Chhattisgarh,4,34,11.76
Goa,0,14,0.0
Gujarat,7,209,3.35
Haryana,0,43,0.0
Himachal Pradesh,0,11,0.0
Jharkhand,0,1,0.0
Karnataka,0,54,0.0
Kerala,4,94,4.26
Madhya Pradesh,0,33,0.0
Maharashtra,40,448,8.93
Manipur,1,8,12.5
Meghalaya,0,2,0.0
Mizoram,0,0,0.0
Nagaland,0,0,0.0
Odisha,0,59,0.0
Punjab,3,94,3.19
Rajasthan,3,245,1.22
Sikkim,0,27,0.0
Tamil Nadu,1,113,0.88
Telangana,0,91,0.0
Tripura,0,2,0.0
Uttar Pradesh,0,105,0.0
Uttarakhand,0,9,0.0
West Bengal,0,5,0.0
Andaman and Nicobar Islands,0,22,0.0
Chandigarh,0,6,0.0
Dadra and Nagar Haveli and Daman and Diu,0,21,0.0
Delhi,0,0,0.0
Jammu and Kashmir,4,128,3.12
Ladakh,0,0,0.0
Lakshadweep,0,0,0.0
Puducherry,0,0,0.0
