Year,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR RELATIVES,DOWRY DEATH,IMMORAL TRAFFIC(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INSULT TO THE MODESTY OF WOMEN,KIDNAPPING & ABDUCTION,RAPE
2001,24.29463402131583,35.00665674680868,4.877579934358069,6.262325660869009,0.7489730099174848,6.938679614691831,10.42653016182658,11.44462085021252
2002,24.22043356024604,35.13365015484295,4.867919681465942,4.708081802742932,1.789613392130839,7.246221689429293,10.35092977123204,11.68314994790998
2003,23.8911736333239,36.77568161542311,4.50275982621436,3.996489472042707,0.7565042684828571,8.939515924306054,9.643797462845702,11.4940777973613
2004,22.94493269256299,38.57964049597749,4.663728327536309,3.815415659931497,0.9146908106098824,6.63847808193718,10.34038711733001,12.10272681411465
2005,22.45415541495016,38.31759735609301,4.459293425055355,3.881760064126571,1.916569754071971,6.559832850412946,10.3482940098161,12.06249712547389
2006,22.85790978438643,39.40721874726894,4.755483975679488,2.834687940871693,0.975067730376918,6.22120678677104,10.8705694345606,12.0778556000849
2007,21.56345335916449,42.27069276504776,4.505422317233394,1.98632729863941,0.6680472977486805,6.095931591956711,11.36571135903089,11.54441401117866
2008,21.24383653815827,42.75996930096618,4.295762061461148,1.398277910363027,0.5388100970383843,6.420513683148123,12.05830713752536,11.28452327133951
2009,19.54054899902073,45.20105398120198,4.231572996274722,1.248826385874229,0.4265393274307694,5.557125983059574,12.99354890816028,10.80078341897772
2010,19.49109023981725,45.13238660632442,4.027029232076097,1.199326188887876,0.4295305878570023,4.780507469992849,14.29928923485965,10.64084044018487
2011,19.35922793769796,44.66526395465666,3.882839005005609,1.097539547017134,0.2040991029551568,3.861212609990493,16.02380705651247,10.90601078616451
2012,19.28410149124262,45.29729178094424,3.50082705072436,1.089835993077437,0.05995586228010869,3.900532799258418,16.26972484086183,10.59773018161098
