State,Total_Girls_and_CoEd_Schools,Percent_Girls_Toilet_Facility
India,1496164,97.32
Andaman and Nicobar Islands,417,99.76
Andhra Pradesh,62888,94.26
Arunachal Pradesh,3671,87.41
Assam,65052,86.76
Bihar,93280,98.47
Chandigarh,229,100.0
Chhattisgarh,55456,99.33
Dadra and Nagar Haveli and Daman and Diu,475,99.79
Delhi,4716,100.0
Goa,1469,100.0
Gujarat,53158,99.54
Haryana,23107,98.68
Himachal Pradesh,18109,99.13
Jammu and Kashmir,28717,89.71
Jharkhand,45045,99.02
Karnataka,76352,99.0
Kerala,16413,99.53
Ladakh,1026,92.5
Lakshadweep,45,100.0
Madhya Pradesh,131150,98.51
Maharashtra,109103,98.05
Manipur,4647,86.27
Meghalaya,14677,79.63
Mizoram,3924,93.43
Nagaland,2718,93.78
Odisha,64109,97.64
Puducherry,716,100.0
Punjab,28485,100.0
Rajasthan,107358,97.92
Sikkim,1185,99.41
Tamil Nadu,58219,99.64
Telangana,42233,91.63
Tripura,4923,90.74
Uttar Pradesh,255906,98.7
Uttarakhand,23038,95.61
West Bengal,94148,99.85
