State,All Management
India,96.5
Andaman and Nicobar Islands,100.0
Andhra Pradesh,98.1
Arunachal Pradesh,74.6
Assam,86.9
Bihar,99.3
Chandigarh,100.0
Chhattisgarh,98.5
Dadra and Nagar Haveli and Daman and Diu,100.0
Delhi,100.0
Goa,100.0
Gujarat,99.1
Haryana,98.9
Himachal Pradesh,99.2
Jammu and Kashmir,90.4
Jharkhand,97.6
Karnataka,98.9
Kerala,99.9
Ladakh,98.0
Lakshadweep,100.0
Madhya Pradesh,97.9
Maharashtra,96.5
Manipur,83.0
Meghalaya,76.3
Mizoram,92.3
Nagaland,80.3
Odisha,95.9
Puducherry,100.0
Punjab,99.8
Rajasthan,93.7
Sikkim,99.8
Tamil Nadu,100.0
Telangana,82.8
Tripura,82.5
Uttar Pradesh,98.0
Uttarakhand,95.1
West Bengal,99.9
