Primary_Occupation,Registration_Count,Percentage_of_Total
AGRICULTURE,149939978,52.41932215373832
APPAREL,17892024,6.255088086236866
AUTOMOBILE & TRANSPORTATION,8006221,2.798991192549228
BEAUTY & WELLNESS,1889448,0.660554874862904
BFSI,40996,0.014332285222922044
CAPITAL GOODS & MANUFACTURING,6732308,2.3536286092438257
CONSTRUCTION,25983686,9.083949626667149
DOMESTIC AND HOUSEHOLD WORKERS,27922613,9.76180246085645
EDUCATION,4858604,1.6985778688952564
ELECTRONICS & HW,4732986,1.6546615598618628
FOOD INDUSTRY,950338,0.3322401032827908
GEM & JEWELLERY,647147,0.22624391123910464
GLASS & CERAMICS,58532,0.0204629065925474
HANDICRAFTS & CARPETS,2164079,0.7565664326504028
HEALTHCARE,3093220,1.0813960214959248
LEATHER INDUSTRY WORKS,5581598,1.951338046045742
MINING,430977,0.15067043829932858
MISCELLANEOUS,12207857,4.267891708572677
MUSICAL INSTRUMENTS,95054,0.03323107228948268
NOT PROVIDED,77198,0.02698857826712694
OFFICE ADMINISTRATION & FACILITY MANAGEMENT,2205735,0.7711294552195814
ORGANISED RETAIL,81707,0.028564933864506085
OTHERS,107,3.7407418256724044e-05
PRINTING,461382,0.16130008831891451
PRIVATE SECURITY,418663,0.14636543878144725
PROFESSIONALS,756506,0.2644760407076755
RETAIL,2236565,0.7819076861060749
SERVICE,263955,0.09227920641078126
TEXTILE & HANDLOOM,192400,0.06726343245414677
TOBACCO INDUSTRY,2131060,0.7450229228988255
TOURISM & HOSPITALITY,3812473,1.332848337415584
WOOD & CARPENTRY,174104,0.060867113534286754
