State,Grand Total,Mobilised Vacancies
Andaman and Nicobar Islands,48410.0,1592
Andhra Pradesh,552253.0,115153
Arunachal Pradesh,52698.0,4714
Assam,1149924.0,39727
Bihar,1814983.0,157727
Chandigarh,39565.0,80293
Chhattisgarh,264088.0,53198
Dadra and Nagar Haveli,3182.0,131
Daman and Diu,1472.0,621
Delhi,364206.0,279217
Goa,95574.0,21245
Grand Total,24815027.0,10049859
Gujarat,513488.0,244586
Haryana,384540.0,196127
Himachal Pradesh,450354.0,31222
Jammu and Kashmir,219556.0,38043
Jharkhand,993102.0,126733
Karnataka,494207.0,914759
Kerala,306225.0,79804
Ladakh,4439.0,42
Lakshadweep,6081.0,1367
Madhya Pradesh,1281067.0,116832
Maharashtra,5295362.0,917244
Manipur,62503.0,2096
Meghalaya,28282.0,1011
Mizoram,18069.0,694
Nagaland,28436.0,992
Odisha,368631.0,75383
Puducherry,126095.0,4835
Punjab,789300.0,89815
Rajasthan,1435734.0,189270
Sikkim,8406.0,1619
Tamil Nadu,913285.0,664304
Telangana,587230.0,414600
Tripura,327346.0,8999
Uttar Pradesh,2586537.0,732185
Uttarakhand,237219.0,124790
West Bengal,2963178.0,701413
