State,Grand Total,Mobilised Vacancies,Percentage
Ladakh,4439.0,42,0.9461590448299164
Tripura,327346.0,8999,2.7490789562114704
Andaman and Nicobar Islands,48410.0,1592,3.2885767403429043
Manipur,62503.0,2096,3.3534390349263234
Assam,1149924.0,39727,3.4547500530469835
Nagaland,28436.0,992,3.4885356590237726
Meghalaya,28282.0,1011,3.574711830846475
Puducherry,126095.0,4835,3.834410563464055
Mizoram,18069.0,694,3.840832364823731
Dadra and Nagar Haveli,3182.0,131,4.116907605279698
Himachal Pradesh,450354.0,31222,6.93276844437931
Bihar,1814983.0,157727,8.690274233973541
Arunachal Pradesh,52698.0,4714,8.94531101749592
Madhya Pradesh,1281067.0,116832,9.11989771026808
Punjab,789300.0,89815,11.379070062080324
Jharkhand,993102.0,126733,12.761327638047252
Rajasthan,1435734.0,189270,13.182804057018918
Maharashtra,5295362.0,917244,17.32164864271791
Jammu and Kashmir,219556.0,38043,17.327242252546046
Sikkim,8406.0,1619,19.260052343564123
