LG_State_Code,State_Name,Registration_count,Percentage_of_Total
1,JAMMU AND KASHMIR,3378579,1.1811581099662098
2,HIMACHAL PRADESH,1923672,0.6725196550724192
3,PUNJAB,5496777,1.9216844514293534
4,CHANDIGARH,174112,0.06086991035060502
5,UTTARAKHAND,2972426,1.0391661927024411
6,HARYANA,5256673,1.8377436032694237
7,DELHI,3252212,1.1369799490050188
8,RAJASTHAN,12807531,4.477538962177189
9,UTTAR PRADESH,83016088,29.02259369956084
10,BIHAR,28567740,9.987340175975193
11,SIKKIM,24436,0.008542875444124381
12,ARUNACHAL PRADESH,140631,0.04916488445664821
13,NAGALAND,218681,0.07645132366166982
14,MANIPUR,405133,0.14163532318319047
15,MIZORAM,58273,0.02037235966424374
16,TRIPURA,844623,0.2952819236471872
17,MEGHALAYA,288838,0.1009783539666884
18,ASSAM,6933160,2.4238468781382134
19,WEST BENGAL,25799359,9.019508531480165
20,JHARKHAND,9146955,3.1977941257984415
21,ODISHA,13329013,4.659850133087029
22,CHHATTISGARH,8261290,2.8881638352345025
23,MADHYA PRADESH,16908003,5.911072337448084
24,GUJARAT,9194538,3.2144292396574112
27,MAHARASHTRA,13483977,4.714025863579879
28,ANDHRA PRADESH,7931078,2.7727210464738543
29,KARNATAKA,7469830,2.6114678048282705
30,GOA,57350,0.020049676981524524
31,LAKSHADWEEP,2433,0.0008505817627907439
32,KERALA,5904331,2.0641661611508573
33,TAMIL NADU,8378398,2.9291050309093474
34,PONDICHERRY,176464,0.061692174348173374
35,ANDAMAN AND NICOBAR ISLANDS,28497,0.009962609327680982
36,TELANGANA,4106653,1.4356942654787903
37,LADAKH,28901,0.010103848551753098
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,72866,0.02547410223078929
