State,2009,2010,2011
Assam,0.1409582884992721,0.14880072182260207,0.156400828821824
Odisha,0.1861765270673673,0.20026635377948304,0.22685793320867267
West Bengal,0.3605369266292174,0.37011017631637566,0.38613143321223625
Manipur,0.3798239675016926,0.4091593205762202,0.4254429519678043
Tripura,0.4033631397442549,0.4127422160897474,0.4205554897548265
Bihar,0.4096154000788016,0.42645703485011793,0.4378224460740038
Nagaland,0.4453784090560481,0.4510666307632469,0.4530545305453055
Jammu and Kashmir,0.4665391969407266,0.5053938688397361,0.5255003706449222
Uttarakhand,0.5304520436704864,0.5378981979673755,0.5411043691783185
Kerala,0.5479676012461059,0.5490922121356904,0.5484494583043436
